logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,Lane Line形状情報数,Lane Line ID,形状要素点数,緯度[deg],経度[deg],高さ[m]
85101,0x18729,False,362,1139280,1154273,15,5,21475697629,26,34.114352873087476,-117.97804531594227,86.499
85101,0x18729,False,362,1139280,1154273,15,5,21475697629,26,34.114422023788656,-117.97799586271354,86.743
85101,0x18729,False,362,1139280,1154273,15,5,21475697629,26,34.11449050393759,-117.97794565511354,86.998
85101,0x18729,False,362,1139280,1154273,15,5,21475697629,26,34.1145581458962,-117.97789486078031,87.253
85101,0x18729,False,362,1139280,1154273,15,5,21475697629,26,34.11462545257868,-117.97784339589482,87.486
85101,0x18729,False,362,1139280,1154273,15,5,21475697629,26,34.114692507804065,-117.97779117663805,87.717
85101,0x18729,False,362,1139280,1154273,15,5,21475697629,26,34.11472226356033,-117.97776770730917,87.825
85101,0x18729,False,362,1139280,1154273,15,5,21475697629,26,34.1147520193166,-117.97774407034221,87.935
85101,0x18729,False,362,1139280,1154273,15,5,21475697629,26,34.11475939539139,-117.97773811919096,87.963
85101,0x18729,False,362,1139280,1154273,15,5,21475697629,26,34.11477414754098,-117.97772613306942,88.017
85101,0x18729,False,362,1139280,1154273,15,5,21475697629,26,34.11480365184015,-117.97770216082635,88.124
85101,0x18729,False,362,1139280,1154273,15,5,21475697629,26,34.1148256962455,-117.97768405591549,88.203
85101,0x18729,False,362,1139280,1154273,15,5,21475697629,26,34.114832988501256,-117.9776780209452,88.23
85101,0x18729,False,362,1139280,1154273,15,5,21475697629,26,34.114891410366376,-117.97762923826873,88.448
85101,0x18729,False,362,1139280,1154273,15,5,21475697629,26,34.11503608201515,-117.97750443173048,89.044
85101,0x18729,False,362,1139280,1154273,15,5,21475697629,26,34.11507195656073,-117.97747266431746,89.175
85101,0x18729,False,362,1139280,1154273,15,5,21475697629,26,34.11510045503152,-117.97744709951277,89.278
85101,0x18729,False,362,1139280,1154273,15,5,21475697629,26,34.115114704266915,-117.97743427520092,89.331
85101,0x18729,False,362,1139280,1154273,15,5,21475697629,26,34.11512886968328,-117.97742145088907,89.384
